No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
26,Nasi Goreng Ala Chinese Resto,nasi goreng,"Masak nasi goreng itu bisa dibilang mudah semua bisa buat, tapi tidak semudah itu... eh gimana yaa😅 Di tempat kami ada salah satu rumah makan yang menu nasi gorengnnya enak banget, harum woknya, rempah, bumbunya sedep, ditambahkan acar sama kerupuk waaah🤤🤤...",400 gr Nasi putih (sisa semalam) | 2 butir Telur | 4 butir Bakso sapi | 2 bh cabe merah besar | 1 bh wortel (parut korek api) | 4 lbr daun bawang (bagian hijaunya) | 1/4 bh kol ukuran kecil (bisa ganti sawi ) | 2 sdm Minyak goreng | Bumbu Halus : | 4 siung Bawang putih | 5 siung Bawang merah | 2 butir Kemiri | 30 gr Udang kupas | 2 batang daun bawang (bagian putihnya) | Bumbu Perasa : | 1 sdm Kecap Inggris | 1 sdm Kecap asin | 1 sdm Saus tiram | 1 sdt Minyak wijen | 1/4 sdt garam,20,"Tumis sebentar bahan bumbu halus, kemudian haluskan dan tumis kembali hingga harum. Lalu sisihkan. || Dalam wajan lain, ceplok telur dan orak arik, masukkan juga cabe dan bakso, tumis sebentar. || Siapkan sayuran, lalu masukkan sayur dlm wajan berisi telur, tumis hingga setengah matang. Masukkan nasi, bumbu yang sudah di tumis sebelumnya dan bumbu perasa, aduk hingga nasi tercampur rata dengan bumbu. Jangan lupa aduk dengan api besar, supaya lebih harum. || Jangan lupa tes rasa sebelum di angkat, jika sudah pas, matikan kompor, dan siap disajikan. Dimakan dengan acar, sambal dan kerupuk lebih mantap.",4,15 menit,2 porsi,Yulianti Khusumawardani,"Kendari, Sulawesi Tenggara",https://cookpad.com/id/resep/25709333
27,Nasi Goreng Seafood,nasi goreng,"Bismillahirrahmanirrahim. Assalamu'alaikum. Selamat pagi Cookpader's, mari sarapan dg sepiring ""Nasi Goreng Seafood"", ala resto. Pingin kuliner tp pingin ngirit juga..😁😁, kebetulan ada tukang ikan basah lewat depan rumah,langsung beli udang, cumi basah untuk membuat...",1 piring nasi putih | 1 butir telur ayam | 10 udang 🍤 yg sdh dibersihkan | 5 cumi basah potong-potong | 5 buah baso ikan iris sesuai selera | Bumbu irus: | 3 buah bamer | 2 buah baput | 3 buah cabe merah besar | 1 sachet bumbu nasgor siap pakai (merk bebas) | 2 sdt saus tiram | 1/8 sdt garam,12,"Siapkan bahan, iris bumbu. Cuci udang dan cumi sampai bersih, potong cumi sesuai selera. Begitu juga basonya. Goreng cumi dan udang sampai udang berwarna kuning, angkat tiriskan. || Orek telur, angkat sisihkan. Tumis bamer dan baput sampai harum, masukan irisan baso dan cabe merah, masak sebentar || Masukkan nasi, orek telur, udang,cumi yg sdh digoreng. Tambahkan bumbu nasgor instan, garam dan saus tiram. Aduk rata,masak sekitar 7 menit. Cek rasa. Matikan kompor || Pindahkan ke piring, sajikan. Terimakasih 🙏🥰. Selamat mencoba!!",4,15 menit,,Mama Fifian ( MasakanRumahan),"Di Cibanteng, Dramaga, Bogor",https://cookpad.com/id/resep/25713284
28,Nasi Goreng Simpel,nasi goreng,Nasi goreng adalah menu andalan Aq di waktu pagi untuk sarapan bocil 😅 Bahannya simpel dan memasaknya pun sat set 💜🩷 Cukup 5 menit aza koq eksekusinya hehe..,1 piring penuh nasi | 3 siung bawang merah | 1 siung bawang putih | secukupnya Penyedap rasa | 2 butir telur ayam | secukupnya Ladaku,6,"Iris bawang merah dan bawang putih. || Panaskan minyak goreng lalu oseng² bawang merah & bawang putih. Setelah mateng, masukkan telur, sedikit penyedap rasa, lalu di orak arik sampe mateng. || Masukkan nasi, aduk² hingga merata. || Masukkan penyedap rasa & ladaku. Lalu aduk² kembali. Koreksi rasa. || Nasi goreng simpel siap untuk dihidangkan.",5,5 menit,,Mey Silvianti,,https://cookpad.com/id/resep/25713257
29,Nasi Goreng Solaria,nasi goreng,"Source @devinahermawan dengan penyesuaian,yg mau resep aslinya di sini👇 https://cookpad.com/id/resep/14387491 #MenuAlaResto#CookpadApron2026","2 porsi nasi | 2 butir telur | 4 butir bakso , potong2 | 50 gr ayam rebus, potong dadu | 3 buah sosis ayam | 3 siung bawang putih haluskan | 2 butir bawang merah haluskan | 2 batang daun bawang potong potong | 2 buah cabe merah iris | 1/2 sdm kecap asin | 2 sdm kecap ikan | 1 sdm kecap manis | 1 sdm saus tiram | 1/2-1 sdm gula pasir | 1/2 sdt merica bubuk | Secukupnya penyedap | 1/2 sdm margarin | Secukupnya minyak goreng",18,"Siapkan wajan masukkan secukupnya minyak goreng tumis bakso, daging ayam,dan sosis, angkat dan sisihkan || Di wajan yang sama orak arik telur hingga kering, sisihkan ke pinggir wajan kemudian masukkan bawang putih dan bawang merah halus tumis bumbu hingga harum tambahkan kecap ikan,bakso,sosis dan ayam, separuh bagian potongan daun bawang tumis aduk hingga rata || Masukkan nasi, kecap asin,kecap manis saus tiram,gula,merica, kemudian tambahkan margarin, aduk hingga rata || Sebelum diangkat masukkan sebagian potongan daun bawang || Enjoy,nasi goreng resto siap untuk di sajikan",5,30 menit,2 porsi,DaruDewi,Kalasan Yogyakarta Indonésia,https://cookpad.com/id/resep/25711373
30,Nasi Goreng,nasi goreng,Bismillahirrahmanirrahim Assalamualaikum warahmatullahi wabarakatuh dan selamat malam semua teman-teman Cookpader Akhir-akhir ini anak-anak request nasgor. Saya mencoba membuat nasi goreng ala resto resep dari mbak Linda DP. Menyesuaikan bahan yang ada. Alhamdulillah anak-anak...,1 wadah nasi putih | 1 buah wortel 🥕 serut | 10 batang sawi hijau imut-imut potong pendek (tambahan saya) | 1 batang daun bawang iris | 1 1/2 buah sosis ayam iris | 1 butir telur ayam +sec garam halus | 4 siung bawang merah iris tipis | 3 siung bawang putih iris tipis | 4 buah cabe merah keriting iris (tambahan saya) | 1 sdt garam halus cap kapal sesuaikan | 1 sdt kaldu bubuk sesuaikan | Secukupnya lada bubuk (me skip) | Bahan saus: | 1-2 sdm kecap manis | 1 sdm sambal terasi (me skip) | 1 sdm sambal (me skip) | 1 sdm saus tomat | 1 sdm saus tiram | 1/2 sdm kecap asin (me skip) | Secukupnya minyak goreng,20,"Siapkan bahan-bahannya || Tumis bawang merah putih hingga harum masukkan cabe merah keriting masukkan wortel, air, masak hingga setengah matang dan air menyusut masukkan sawi hijau, telur ayam aduk rata sosis ayam || Masukkan nasi putih aduk rata masukkan garam halus cap kapal, kaldu bubuk, masukkan semua saus, kecap manis aduk rata dan koreksi rasa. Angkat dan sajikan",3,,,Mama Nuna April,,https://cookpad.com/id/resep/25707085
31,Nasi Goreng Topping Bakso,nasi goreng,#CookpadApron2026 #MenuAlaResto,1 piring nasi | 6 buah bakso | 4 lembar sawi hijau | 3 buah cabai rawit (opsional) | 1 siung bawang putih | 2 siung bawang merah | 1 sdm bumbu nasi goreng | sejumput garam | 3 Sdm minyak,9,"Tumis bumbu halus bawang merah dan bawang putih sampai harum || Masukan irisan bakso || Kemudian masukkan nasi, aduk merata || Terakhir masukkan sawi hijau, cabai rawit, bumbu nasi goreng dan garam masak hingga matang",4,20 menit,1 porsi,Furoh,Purwakarta,https://cookpad.com/id/resep/25709038
32,Nasi Goreng Telur Kornet Ala Resto,nasi goreng,Sarapan pagi ini bikin Nasgor Telur kornet #MenuAlaResto Resep Aku Cooksnap dari @windri_aries Resep Asli pakai kornet Tapi jarang stok kornet jadi aku skip aku sesuai kan bahan bahan yang ada saja Rasa nya Tetep enak ngak kalah Sama Resep Resto Resh Area...,2 Piring nasi | 2 butir telur | 2 sdm kornet (aku skip) | 4 butir baso | 1 batang wortel kecil potong dadu rebus sebentar | 1/2 lembar jamur kuping | 5 buah kacang kapri (Resep asli buncis | 2 btg daun bawang potong halus | Bumbu | 3 buah rawit rajang | 2 buah cabai keriting rajang | 2 siung bawang putih rajang | 1/4 sdt lada bubuk | 1/4 sdt kaldu bubuk | Sedikit garam | Sedikit saus tiram | Sedikit Minyak ikan | Secukupnya Minyak bawang putih (Resep asli Minyak wijen | 1 sdm Margarin | Sedikit kecap,20,Rebus wortel.kapri.dan jamur kuping.sebentar saja. Lalu tiris kan || Siapin bahan bumbu.dan bahan lain nya.panas kan margarin.minyak bawang putih masukan telur goreng orak arik+kan bawang putih aduk aduk sampai harum masukan nasi baso aduk aduk sebentar || Masukan kecap saus tiram minyak ikan aduk hingga rata masukan kaldu bubuk lada garam. terakhir masukan wortel kapri jamur dan potongan cabai +daun bawang koreksi rasa lalu angkat sajikan hangat bersama potongan timun dan tomat yummy,3,20 Menit,2 porsi,Dapoer Mama Anna Rohana,Meruya Utara Kembangan Jakbar,https://cookpad.com/id/resep/25704502
33,Nasi Goreng Simple,nasi goreng,"Tiap kali malas masak, suami dan anak-anak pasti pesan nasi goreng di resto sebelah. Kebetulan emak punya resep dari alm. Ayah, ingat dulu waktu kecil sering dibuatkan nasgor sama ayah. Alhamdulillah, sampai nambah 2x bocil-bocilku. #CookpadApron2026 #MenuAlaResto",1 mangkok besar nasi putih | 2 biji telur ayam | Secukupnya minyak goreng | Bahan halus: | 3 siung bawang merah | 3 siung bawang putih | Secukupnya merica bubuk | Secukupnya penyedap | Secukupnya garam | Bahan pelengkap: | Secukupnya saus tomat | Secukupnya kecap manis | Secukupnya saus tiram (optional) | Secukupnya bawang goreng (optional),14,"Siapkan bumbu halus, kemudian haluskan. Setelah halus masukkan nasi ke dalam cobek sambil ratakan bumbunya || Panaskan sedikit minyak goreng, kemudian orak arik telur ayam, setelah telur mulai matang, masukkan nasi yang sudah rata dengan bumbu || Sambil terus diaduk-aduk hingga tercampur rata, kemudian masukkan saus tomat, saus tiram dan kecap manis. Aduk rata kembali hingga semua tercampur rata dan nasi agak kering || Setelah nasi goreng sudah tidak terlalu basah dan tidak terlalu kering, angkat. Sajikan selagi panas dengan taburan bawang goreng",4,15 menit,,Tiffianti Diannissa,,https://cookpad.com/id/resep/25679710
34,Nasi Goreng Solaria,nasi goreng,"Nasi goreng ala Solaria ini dimasak dengan bumbu sederhana yang pas, menghasilkan rasa gurih seimbang dan aroma menggoda. Disajikan hangat dengan topping pelengkap, cocok jadi menu praktis yang tetap nikmat. Source: @cook_14174707 #Coboy2026 #MenuAlaResto...","3 centong nasi putih | 3 siung bawang putih , cincang | 1/2 btr bawang bombay , cincang | 1 btg daun bawang , iris2 | 2 bh cabe merah , potong serong | 4 bh cabe rawit , potong² (opsional) | 4 bh sosis , potong sesuai selera (opsional) | 4 bh bakso , potong sesuai selera (skip) | 1 bh wortel uk kecil, potong dadu, rebus, tiriskan | 1 lbr kubis , rajang kecil2 | Bumbu: | 2 sdm kecap manis | 1 sdm margarin | 1 sdm saus tiram | 1 sdm saus sambal (opsional) | 1/2 sdm minyak wijen | 1/2 sdm kaldu jamur | 1/2 sdt lada bubuk | Sejumput garam",19,"Siapkan bahan2nya. Telur dibuat orak arik, sisihkan. Sosis di tumis sebentar, sisihkan. || Bawang bombay di tumis dulu sampai harum, baru dimasukkan bawang putih, cabe merah dan cabe rawit. Tumis sampai harum. || Masukkan nasi putih, telur dan sosis. Lalu beri kecap manis, margarin, saus tiram, saus sambal, minyak wijen, kaldu jamur, garam, dan lada bubuk. Aduk sampai tercampur rata. Koreksi rasanya. || Masukkan wortel, kubis, dan terakhir daun bawang. Aduk² sampai sayur agak layu dan merata. Angkat dan sajikan👍😋",4,30 menit,2 porsi,Arum Yusia,"Kediri, Jawa Timur",https://cookpad.com/id/resep/25325904
35,Nasi Goreng Ala Solaria,nasi goreng,"Bikin pake resep lama nih tapi ga pake bakso ato sosis, jadi cuman pake telor sama mix vegetables aja 👍😁 #CookpadApron2026 #MenuAlaResto","2 porsi nasi kemaren (saya pakai nasi kongbap) | 1 siung bawang putih , cincang halus | 3 bawang merah , iris tipis | 3 cabe merah keriting, iris serong | 2 butir telur , kocok lepas | 1 mangkuk kecil mix vegetables | 1 sdt kecap ikan | 1 sdt kecap asin | 1 sdt saus tiram | 1 sdm kecap manis | 1/2 sdt lada bubuk | 1/2 sdt kaldu jamur | 1/2 daun bawang , iris halus | 1-2 sdm minyak",14,"Panaskan 1-2 sdm minyak di wajan dengan api sedang-besar, masukkan duo bawang, tumis hingga wangi. Pinggirkan ke samping wajan, masukkan kocokan telur, masak setengah matang, masukkan mix vegetables dan cabe, orak-arik hingga telur matang, masukkan kecap ikan, tumis hingga wangi. Masukkan nasi, || Saus tiram, kecap asin, lada bubuk dan kaldu jamur, aduk hingga semua benar-benar tercampur rata. Terakhir masukkan kecap manis, aduk rata kembali. Masukkan daun bawang, aduk rata kembali. Nasi Goreng ala Solaria siap disajikan dan dinikmati.",2,30 menit,2 porsi,Heramesayu Noviari,,https://cookpad.com/id/resep/25696408
36,Nasi Goreng Suka Suka,nasi goreng,"Dirumah lagi ada nasi pera dan sayuran Jadi bingung mau dimasak apa 🤔 Buka cookpad ada challenge masakan ala restoran,, jadi kepingin bikin nasi goreng ala resto chinese gitu Actually di daerahku itu ga ada restoran sama sekali,, adanya ya warung pinggir jalan gitu,,...","1 piring nasi dingin | Secukupnya garam | Secukupnya kaldu bubuk | Secukupnya merica bubuk | Secukupnya minyak goreng | Bumbu iris | 1 siung bawang putih | 2 buah cabai merah keriting | 1 batang serai | 2 lembar daun jeruk , buang tulang daun | Topping | Secukupnya ayam goreng suwir | Secukupnya wortel | Secukupnya kembang kol",14,"Iris tipis cabai merah keriting, serai dan daun jeruk. Sisihkan || Potong kembang kol, potong kotak kecil wortel dan cincang halus bawang putih. Sisihkan || Panaskan minyak, tumis wortel dan kembang kol hingga layu dan setengah matang. Pinggirkan di sisi wajan lalu masukan bawang putih. Tumis || Masukan cabai, serai dan daun jeruk. Tumis sebentar || Masukan nasi dan bumbu dengan garam, merica bubuk dan kaldu bubuk. Aduk rata || Masukan suwiran ayam lalu aduk kembali. Koreksi rasa || Siap disajikan",7,40 menit,,RinRinny♡,"Jawa Timur, Indonesia",https://cookpad.com/id/resep/25408321
37,Nasi Goreng Cabai Ijo Ikan Asin,nasi goreng,"Siapa bilang nasi goreng cuma enak kalau pakai kecap manis atau sambal merah? Ternyata, perpaduan cabai hijau dengan gurihnya ikan asin bisa menghadirkan rasa yang beda banget dan bikin lidah auto ketagihan. Aroma wangi daun jeruk berpadu dengan pedas segar...",Bahan bumbu dasar : | 5 siung bawang merah | 4 siung bawang putih | 120 gr cabai hijau keriting | 20 buah cabai rawit hijau | 5 lembar daun jeruk | Bahan lainnya : | 30 gr ikan jambal roti | 2 batang daun bawang | 2 butir telur | 1 sdm saus tiram | 600 gr nasi putih dingin | 1/2 sdm garam | 1 sdm gula pasir | 1/2 sdm kaldu jamur | 1/8 sdt merica | 4 sdm minyak | 1/2 sdt baking soda (untuk merebus cabai hijau ) | Bahan pelengkap : | Secukupnya kerupuk | Secukupnya bawang merah goreng,21,"Rebus cabai hijau keriting bersama baking soda selama 3 menit, tiriskan lalu haluskan. || Panaskan minyak, tumis bawang putih dan bawang merah hingga harum, masukkan ikan asin jambal roti, aduk sebentar. || Masukkan telur, orak-arik, lalu tambahkan cabai rawit hijau, daun jeruk, cabai hijau halus, dan nasi. Aduk hingga rata. || Tambahkan saus tiram, garam, gula pasir, penyedap, merica, dan daun bawang. Masak di api besar agar nasi tidak lembek dan wangi keluar maksimal. || Angkat, sajikan hangat dengan kerupuk, dan bawang goreng.",5,45 menit,,Noni,Tangerang,https://cookpad.com/id/resep/25032107
38,Nasi Goreng Jamur Wortel,nasi goreng,"Sarapan pagi buat anak memang nasi goreng jamur wortel ini pilihan tepat. Apalagi setelah weekend dan pengen masak cepet, liat ada nasi di rice cooker, saatnya bunda sulap jadi masakan super cepat. Anak ga telat, makan juga ga drama. 🥰 #CookpadApron2026...",1 mangkok nasi (sisa kemarin) | 5 buah Jamur Champignon | 1/2 buah wortel (potong kecil) | 1 batang daun bawang | 2 buah bakso | 2 siung bawang merah | 2 siung bawang putih | 1/2 sdt kaldu bubuk | 1 sdt Saori saus tiram,9,"Siapkan bahan membuat Nasi Goreng || Rebus sebentar wortel dan bakso || Tumis bawang merah dan putih sebentar, masukkan wortel, bakso dan daun bawang || Masukkan nasi, beri saus tiram. Aduk sebentar hingga bumbu tercampur rata, beri garam. Masukkan jamur champignon di akhir, aduk sebentar saja karena jamur cepat matang || Sajikan nasi goreng dengan pelengkap yang tersedia di rumah. Selamat menikmati 🌼🥰",5,15 menit,,Alifa Hapsari,Surabaya,https://cookpad.com/id/resep/25695773
39,Nasi Goreng Simple Enak,nasi goreng,Ada nasi dingin cus kreasikan ajah,Bawang merah putih di iris | daun bawang | Nasi | 2 telur | Saus tiram | kecap asin | kecap manis | garam | merica | penyedap | mentega,11,Tumis perbawangan sampai harum || Orak arik telur || Masukkan nasi || Campurkan semua bahan kecuali mentega sampai merata || Koreksi rasa lalu masukkan mentega dan aduk merata,5,,,Madinah Anggraeni,,https://cookpad.com/id/resep/25695718
40,95. Nasi Goreng Ijo (Cabe Hijau),nasi goreng,"Nasi Goreng Ijo (Cabe Hijau). Nasi goreng yang paling sering dipesan kalau ke Sola***. Rasanya tuh beda dengan nasi goreng yang menggunakan cabe merah. Beberapa waktu yang lalu nemu resep dari Chef Devina. Setelah dipraktekan, waah rasanya mirip dengan nasi goreng Sola*** 😋 Senang laah...","400 gr nasi dingin | Secukupnya sosis , potong sesuai selera | 1 butir telur , orak arik | 1 buah cabe tanjung (besar) iris-iris | 1 batang daun bawang , iris-iris | Secukupnya minyak untuk menumis | Secukupnya bawang goreng untuk taburan | Bumbu halus: | 8 butir bawang merah | 3 siung bawang putih | 1 buah cabe tanjung ( cabe besar) | 5 buah cabe rawit (sesuai selera) | Seasoning: | 1 sdt garam | 1/2 sdt kecap ikan | 1/2 sdt saus tiram | Secukupnya kaldu bubuk bila suka",17,"Siapkan semua bahan. Panaskan sedikit minyak di kuali. Tumis bumbu halus sampai matang, lalu masukan 2 sdm air. Masak sampai air menguap dan bumbu matang.. Note: kalau memblender bumbunya pakai air, maka tidak perlu ditambah air lagi. || Setelah bumbu matang, masukan nasi. Aduk-aduk sampai bumbu rata dan tidak ada nasi yang menggumpal. Tambahkan seasoning, irisan cabe, daun bawang, dan sosis. Aduk sampai semua tercampur. || Terakhir masukan telur orak arik. Aduk rata. Tes rasa, kalau kurang garam bisa ditambahkan. Matikan api. Nasi goreng ijo siap disajikan bersama taburan bawang goreng. Selamat mencoba...",3,30 menit,2 porsi,Lydia Pesta,Bogor,https://cookpad.com/id/resep/25361146
41,Nasi Goreng Magelangan Kornet Favorit,nasi goreng,"Wanita hebat yang menginspirasi saya adalah ibu saya.. Beliau adalah wanita yang sibuk namun tetap berusaha memberikan yang terbaik untuk keluarga, salah satunya dengan menyajikan masakan yang sat set namun tetap lezat.. Nah, ini salah satu masakan...",2 bungkus mie instan goreng | 1 sdm minyak goreng | 1 sachet kornet sapi | 2 porsi nasi | secukupnya penyedap rasa | 1 sdm kecap manis | 1 sdm saus tomat,7,"Siapkan bahan2 || Rebus mie instan, tiriskan || Tumis kornet sampai berubah warna || Masukkan mie instan & nasi || Tambahkan penyedap rasa, bumbu mie instan, kecap, saus tomat.. Aduk rata sampai tercampur semua dengan api kecil",5,15 menit,2 porsi,Alfani Kusumasari,,https://cookpad.com/id/resep/25693508
42,Nasi Goreng Kecap,nasi goreng,"Sepiring nasi goreng di atas meja makan tampaknya sangat biasa bagi banyak orang.. tapi, tidak dengan saya: perburuan rasanya yang enak dan sesuai selera keluarga terus saya lakukan; meskipun saya sendiri bukan pecinta menu ini. Dalam rangka peringatan Hari Kartini, saya...","2 porsi nasi | 1 bakso ikan , potong-potong | 50 gr ayam , potong dadu | 5 ekor udang, kupas ( saya ganti bakso udang | 3 butir bawang merah , parut | 2 siung bawang putih , parut/geprek & cincang | 2 batang daun bawang , iris-iris | 1 buah cabai merah , iris-iris | 1/2 sdm kecap asin | 2 sdm kecap ikan | 1 sdm kecap manis | 1 sdm saus tiram | 1/2-1 sdm gula | 1/2 sdt merica | Secukupnya Penyedap /kaldu bubuk (optional) | 1/2 sdm margarine | Minyak untuk menumis",17,"Siapkan semua bahan. Panaskan wajan dengan api besar, tuang minyak lalu tumis bawang merah dan bawang putih, kemudian masukkan daging ayam/udang dan bakso udang/ikan, aduk dan masak sebentar lalu sisihkan. || Tambahkan nasi, masukkan semua kecap, saus tiram, garam, gula dan merica bubuk. Aduk nasi dan bumbu sampai tercampur rata dan terlihat agak kering. || Tambahkan irisan daun bawang, aduk merata dan angkat. Siap dinikmati.",3,30 menit,2 porsi,Rini.Wijaya26,Makassar,https://cookpad.com/id/resep/25663560
